Timestamp,Day of the Week,Time,Cameron Basement: Enter the number of people,Cameron Main Floor:  Enter the number of people,Cameron 2nd Floor: Enter the number of people,Cameron 3rd Floor: Enter the number of people,Cameron 4th Floor: Enter the number of people
3/22/2023 17:51:22,Wednesday,5:30 pm,59,128,78,19,27
3/22/2023 19:32:05,Wednesday,8:00 pm,62,55,27,9,18
3/23/2023 17:25:37,Thursday,5:30 pm,67,128,82,35,43
3/23/2023 20:00:43,Thursday,8:00 pm,50,39,26,13,14
3/24/2023 17:19:47,Friday,5:30 pm,64,73,46,27,23
3/27/2023 17:25:56,Monday,5:30 pm,62,98,91,46,26
3/27/2023 20:38:01,Monday,8:00 pm,52,45,18,7,14
3/28/2023 17:42:26,Tuesday,5:30 pm,79,128,78,33,26
3/28/2023 20:04:48,Tuesday,8:00 pm,67,45,31,10,12
3/29/2023 17:57:28,Wednesday,5:30 pm,96,134,58,23,27
3/30/2023 17:28:00,Thursday,5:30 pm,65,118,83,29,22
3/30/2023 20:00:43,Thursday,8:00 pm,34,52,10,9,11
3/31/2023 17:29:10,Friday,5:30 pm,61,96,58,26,13
4/3/2023 18:04:15,Monday,5:30 pm,85,142,82,38,34
4/3/2023 20:00:25,Monday,8:00 pm,72,47,19,11,15
4/4/2023 18:12:34,Tuesday,5:30 pm,88,96,49,26,23
4/4/2023 20:16:12,Tuesday,8:00 pm,80,42,16,20,15
4/5/2023 18:04:36,Wednesday,5:30 pm,70,114,177,26,31
4/5/2023 20:31:27,Wednesday,8:00 pm,41,38,8,5,19
4/6/2023 17:29:44,Thursday,5:30 pm,71,128,59,45,23
4/6/2023 20:00:13,Thursday,8:00 pm,49,38,12,7,4
4/11/2023 17:33:22,Tuesday,5:30 pm,136,124,64,32,27
4/11/2023 20:02:11,Tuesday,8:00 pm,91,48,18,18,10
4/12/2023 17:58:54,Wednesday,5:30 pm,98,89,75,22,30
4/12/2023 20:30:03,Wednesday,8:00 pm,80,40,20,8,13
4/13/2023 17:21:41,Thursday,5:30 pm,102,98,58,23,25
4/13/2023 20:00:38,Thursday,8:00 pm,83,41,33,7,8
4/14/2023 17:18:25,Friday,5:30 pm,104,78,60,31,33
4/17/2023 17:50:55,Monday,5:30 pm,117,89,65,21,20
4/18/2023 17:38:39,Tuesday,5:30 pm,127,110,45,20,22
4/18/2023 19:52:05,Tuesday,8:00 pm,117,55,30,30,15
4/19/2023 17:51:12,Wednesday,5:30 pm,127,68,63,29,28
4/19/2023 20:41:16,Wednesday,8:00 pm,138,21,23,7,7
4/20/2023 17:42:15,Thursday,5:30 pm,75,87,69,26,25
4/20/2023 20:27:37,Thursday,8:00 pm,84,25,28,11,11
4/21/2023 17:34:30,Friday,5:30 pm,79,62,34,20,18
4/24/2023 17:37:51,Monday,5:30 pm,85,67,35,18,19
4/24/2023 20:08:11,Monday,8:00 pm,121,46,15,21,8
4/25/2023 18:12:08,Tuesday,5:30 pm,45,40,25,13,12
4/26/2023 17:39:40,Wednesday,5:30 pm,54,33,21,11,6
4/26/2023 19:57:45,Wednesday,8:00 pm,28,8,10,3,3
4/27/2023 18:37:30,Thursday,5:30 pm,51,24,15,8,3
4/27/2023 20:21:14,Thursday,8:00 pm,34,8,4,0,1
