Timestamp,1. Date,2. Time,3. Cameron Basement: Enter the number of people,4. Cameron Main Floor:  Enter the number of people,5. Anything to note? Please share with Library staff any concerns or issues you observed during your shift. 
"Friday, June 2, 2023 at 5:33:35 PM",6/2/2023,5:30 pm (Fri - Sat - Sun only),28,19,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Friday, June 2, 2023 at 6:30:55 PM",6/2/2023,6:30 pm,26,15,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Friday, June 2, 2023 at 7:36:10 PM",6/2/2023,7:30 pm,12,13,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Friday, June 2, 2023 at 8:29:39 PM",6/2/2023,8:30 pm,11,9,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
"Friday, June 2, 2023 at 9:25:35 PM",6/2/2023,9:30 pm,3,3,"Patrolled Cameron Library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - Checked all entry/exit doors on 2nd,3rd and 4th level - All secured - No issue to report."
"Saturday, June 3, 2023 at 9:55:45 PM",6/3/2023,5:30 pm (Fri - Sat - Sun only),15,6,
"Saturday, June 3, 2023 at 9:56:07 PM",6/3/2023,6:30 pm,9,8,
"Saturday, June 3, 2023 at 9:57:42 PM",6/3/2023,7:30 pm,3,8,
"Saturday, June 3, 2023 at 9:58:10 PM",6/3/2023,8:30 pm,6,3,
"Saturday, June 3, 2023 at 9:58:35 PM",6/3/2023,9:30 pm,1,2,
"Sunday, June 4, 2023 at 9:41:47 PM",6/4/2023,5:30 pm (Fri - Sat - Sun only),21,9,
"Sunday, June 4, 2023 at 9:42:34 PM",6/4/2023,6:30 pm,19,5,
"Sunday, June 4, 2023 at 9:43:42 PM",6/4/2023,7:30 pm,18,7,
"Sunday, June 4, 2023 at 9:44:15 PM",6/4/2023,8:30 pm,23,2,
"Sunday, June 4, 2023 at 9:44:49 PM",6/4/2023,9:30 pm,9,5,
6/5/2023 18:30:34,6/5/2023,6:30 pm,28,16,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
6/5/2023 19:33:26,6/5/2023,7:30 pm,23,14,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
6/5/2023 20:36:17,6/5/2023,8:30 pm,20,6,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms -Checked all entry/exit doors on 2nd, 3rd and 4th level - All doors were secured - No issue to report."
6/5/2023 21:32:55,6/5/2023,9:30 pm,13,4,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
6/6/2023 18:37:28,6/6/2023,6:30 pm,21,8,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
6/6/2023 19:31:35,6/6/2023,7:30 pm,19,9,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
6/6/2023 20:34:41,6/6/2023,8:30 pm,16,5,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - No issue to report."
6/6/2023 21:30:48,6/6/2023,9:30 pm,14,3,"Patrolled Cameron library main floor and basement - did headcount, checked stairwells, doors, emergency exits and washrooms - checked all entry/exit doors on the 2nd,3rd and 4th level - All secured -  No issue to report."
